file_flat0,raft_sensor,file_flat1
MC_C_20211207_000812_R24_S20.fits,R24_S20,MC_C_20211207_000813_R24_S20.fits
MC_C_20211207_000812_R34_S00.fits,R34_S00,MC_C_20211207_000813_R34_S00.fits
MC_C_20211207_000812_R21_S21.fits,R21_S21,MC_C_20211207_000813_R21_S21.fits
MC_C_20211207_000812_R13_S02.fits,R13_S02,MC_C_20211207_000813_R13_S02.fits
MC_C_20211207_000812_R20_S22.fits,R20_S22,MC_C_20211207_000813_R20_S22.fits
MC_C_20211207_000812_R24_S10.fits,R24_S10,MC_C_20211207_000813_R24_S10.fits
MC_C_20211207_000812_R22_S01.fits,R22_S01,MC_C_20211207_000813_R22_S01.fits
MC_C_20211207_000812_R32_S02.fits,R32_S02,MC_C_20211207_000813_R32_S02.fits
MC_C_20211207_000812_R12_S01.fits,R12_S01,MC_C_20211207_000813_R12_S01.fits
MC_C_20211207_000812_R41_S12.fits,R41_S12,MC_C_20211207_000813_R41_S12.fits
MC_C_20211207_000812_R13_S01.fits,R13_S01,MC_C_20211207_000813_R13_S01.fits
MC_C_20211207_000812_R32_S01.fits,R32_S01,MC_C_20211207_000813_R32_S01.fits
MC_C_20211207_000812_R13_S11.fits,R13_S11,MC_C_20211207_000813_R13_S11.fits
MC_C_20211207_000812_R33_S00.fits,R33_S00,MC_C_20211207_000813_R33_S00.fits
MC_C_20211207_000812_R40_SW1.fits,R40_SW1,MC_C_20211207_000813_R40_SW1.fits
MC_C_20211207_000812_R13_S21.fits,R13_S21,MC_C_20211207_000813_R13_S21.fits
MC_C_20211207_000812_R33_S11.fits,R33_S11,MC_C_20211207_000813_R33_S11.fits
MC_C_20211207_000812_R20_S10.fits,R20_S10,MC_C_20211207_000813_R20_S10.fits
MC_C_20211207_000812_R21_S22.fits,R21_S22,MC_C_20211207_000813_R21_S22.fits
MC_C_20211207_000812_R11_S22.fits,R11_S22,MC_C_20211207_000813_R11_S22.fits
MC_C_20211207_000812_R34_S22.fits,R34_S22,MC_C_20211207_000813_R34_S22.fits
MC_C_20211207_000812_R40_SW0.fits,R40_SW0,MC_C_20211207_000813_R40_SW0.fits
MC_C_20211207_000812_R22_S11.fits,R22_S11,MC_C_20211207_000813_R22_S11.fits
MC_C_20211207_000812_R10_S10.fits,R10_S10,MC_C_20211207_000813_R10_S10.fits
MC_C_20211207_000812_R31_S02.fits,R31_S02,MC_C_20211207_000813_R31_S02.fits
MC_C_20211207_000812_R32_S11.fits,R32_S11,MC_C_20211207_000813_R32_S11.fits
MC_C_20211207_000812_R22_S12.fits,R22_S12,MC_C_20211207_000813_R22_S12.fits
MC_C_20211207_000812_R03_S10.fits,R03_S10,MC_C_20211207_000813_R03_S10.fits
MC_C_20211207_000812_R21_S20.fits,R21_S20,MC_C_20211207_000813_R21_S20.fits
MC_C_20211207_000812_R30_S01.fits,R30_S01,MC_C_20211207_000813_R30_S01.fits
MC_C_20211207_000812_R40_SG0.fits,R40_SG0,MC_C_20211207_000813_R40_SG0.fits
MC_C_20211207_000812_R21_S12.fits,R21_S12,MC_C_20211207_000813_R21_S12.fits
MC_C_20211207_000812_R33_S21.fits,R33_S21,MC_C_20211207_000813_R33_S21.fits
MC_C_20211207_000812_R02_S12.fits,R02_S12,MC_C_20211207_000813_R02_S12.fits
MC_C_20211207_000812_R04_SG0.fits,R04_SG0,MC_C_20211207_000813_R04_SG0.fits
MC_C_20211207_000812_R23_S02.fits,R23_S02,MC_C_20211207_000813_R23_S02.fits
MC_C_20211207_000812_R12_S10.fits,R12_S10,MC_C_20211207_000813_R12_S10.fits
MC_C_20211207_000812_R23_S11.fits,R23_S11,MC_C_20211207_000813_R23_S11.fits
MC_C_20211207_000812_R32_S10.fits,R32_S10,MC_C_20211207_000813_R32_S10.fits
MC_C_20211207_000812_R04_SW0.fits,R04_SW0,MC_C_20211207_000813_R04_SW0.fits
MC_C_20211207_000812_R31_S12.fits,R31_S12,MC_C_20211207_000813_R31_S12.fits
MC_C_20211207_000812_R34_S01.fits,R34_S01,MC_C_20211207_000813_R34_S01.fits
MC_C_20211207_000812_R44_SW1.fits,R44_SW1,MC_C_20211207_000813_R44_SW1.fits
MC_C_20211207_000812_R24_S01.fits,R24_S01,MC_C_20211207_000813_R24_S01.fits
MC_C_20211207_000812_R02_S11.fits,R02_S11,MC_C_20211207_000813_R02_S11.fits
MC_C_20211207_000812_R43_S11.fits,R43_S11,MC_C_20211207_000813_R43_S11.fits
MC_C_20211207_000812_R11_S00.fits,R11_S00,MC_C_20211207_000813_R11_S00.fits
MC_C_20211207_000812_R41_S10.fits,R41_S10,MC_C_20211207_000813_R41_S10.fits
MC_C_20211207_000812_R31_S20.fits,R31_S20,MC_C_20211207_000813_R31_S20.fits
MC_C_20211207_000812_R13_S12.fits,R13_S12,MC_C_20211207_000813_R13_S12.fits
MC_C_20211207_000812_R20_S11.fits,R20_S11,MC_C_20211207_000813_R20_S11.fits
MC_C_20211207_000812_R42_S21.fits,R42_S21,MC_C_20211207_000813_R42_S21.fits
MC_C_20211207_000812_R42_S02.fits,R42_S02,MC_C_20211207_000813_R42_S02.fits
MC_C_20211207_000812_R11_S02.fits,R11_S02,MC_C_20211207_000813_R11_S02.fits
MC_C_20211207_000812_R10_S12.fits,R10_S12,MC_C_20211207_000813_R10_S12.fits
MC_C_20211207_000812_R20_S00.fits,R20_S00,MC_C_20211207_000813_R20_S00.fits
