file_flat0,raft_sensor,file_flat1
MC_C_20211206_000747_R20_S01.fits,R20_S01,MC_C_20211206_000748_R20_S01.fits
MC_C_20211206_000747_R32_S20.fits,R32_S20,MC_C_20211206_000748_R32_S20.fits
MC_C_20211206_000747_R01_S01.fits,R01_S01,MC_C_20211206_000748_R01_S01.fits
MC_C_20211206_000747_R44_SW1.fits,R44_SW1,MC_C_20211206_000748_R44_SW1.fits
MC_C_20211206_000747_R02_S21.fits,R02_S21,MC_C_20211206_000748_R02_S21.fits
MC_C_20211206_000747_R03_S00.fits,R03_S00,MC_C_20211206_000748_R03_S00.fits
MC_C_20211206_000747_R23_S00.fits,R23_S00,MC_C_20211206_000748_R23_S00.fits
MC_C_20211206_000747_R24_S11.fits,R24_S11,MC_C_20211206_000748_R24_S11.fits
MC_C_20211206_000747_R41_S02.fits,R41_S02,MC_C_20211206_000748_R41_S02.fits
MC_C_20211206_000747_R30_S00.fits,R30_S00,MC_C_20211206_000748_R30_S00.fits
MC_C_20211206_000747_R33_S11.fits,R33_S11,MC_C_20211206_000748_R33_S11.fits
MC_C_20211206_000747_R42_S11.fits,R42_S11,MC_C_20211206_000748_R42_S11.fits
MC_C_20211206_000747_R14_S20.fits,R14_S20,MC_C_20211206_000748_R14_S20.fits
MC_C_20211206_000747_R24_S22.fits,R24_S22,MC_C_20211206_000748_R24_S22.fits
MC_C_20211206_000747_R24_S10.fits,R24_S10,MC_C_20211206_000748_R24_S10.fits
MC_C_20211206_000747_R13_S10.fits,R13_S10,MC_C_20211206_000748_R13_S10.fits
MC_C_20211206_000747_R33_S20.fits,R33_S20,MC_C_20211206_000748_R33_S20.fits
MC_C_20211206_000747_R00_SW1.fits,R00_SW1,MC_C_20211206_000748_R00_SW1.fits
MC_C_20211206_000747_R01_S21.fits,R01_S21,MC_C_20211206_000748_R01_S21.fits
MC_C_20211206_000747_R01_S02.fits,R01_S02,MC_C_20211206_000748_R01_S02.fits
MC_C_20211206_000747_R11_S01.fits,R11_S01,MC_C_20211206_000748_R11_S01.fits
MC_C_20211206_000747_R30_S20.fits,R30_S20,MC_C_20211206_000748_R30_S20.fits
MC_C_20211206_000747_R00_SG0.fits,R00_SG0,MC_C_20211206_000748_R00_SG0.fits
MC_C_20211206_000747_R22_S02.fits,R22_S02,MC_C_20211206_000748_R22_S02.fits
MC_C_20211206_000747_R10_S12.fits,R10_S12,MC_C_20211206_000748_R10_S12.fits
MC_C_20211206_000747_R31_S11.fits,R31_S11,MC_C_20211206_000748_R31_S11.fits
MC_C_20211206_000747_R10_S02.fits,R10_S02,MC_C_20211206_000748_R10_S02.fits
MC_C_20211206_000747_R34_S01.fits,R34_S01,MC_C_20211206_000748_R34_S01.fits
MC_C_20211206_000747_R41_S22.fits,R41_S22,MC_C_20211206_000748_R41_S22.fits
MC_C_20211206_000747_R40_SG1.fits,R40_SG1,MC_C_20211206_000748_R40_SG1.fits
MC_C_20211206_000747_R42_S01.fits,R42_S01,MC_C_20211206_000748_R42_S01.fits
MC_C_20211206_000747_R42_S00.fits,R42_S00,MC_C_20211206_000748_R42_S00.fits
MC_C_20211206_000747_R20_S00.fits,R20_S00,MC_C_20211206_000748_R20_S00.fits
MC_C_20211206_000747_R41_S11.fits,R41_S11,MC_C_20211206_000748_R41_S11.fits
MC_C_20211206_000747_R42_S21.fits,R42_S21,MC_C_20211206_000748_R42_S21.fits
MC_C_20211206_000747_R23_S22.fits,R23_S22,MC_C_20211206_000748_R23_S22.fits
MC_C_20211206_000747_R14_S21.fits,R14_S21,MC_C_20211206_000748_R14_S21.fits
MC_C_20211206_000747_R24_S21.fits,R24_S21,MC_C_20211206_000748_R24_S21.fits
MC_C_20211206_000747_R30_S11.fits,R30_S11,MC_C_20211206_000748_R30_S11.fits
MC_C_20211206_000747_R12_S12.fits,R12_S12,MC_C_20211206_000748_R12_S12.fits
MC_C_20211206_000747_R34_S02.fits,R34_S02,MC_C_20211206_000748_R34_S02.fits
MC_C_20211206_000747_R41_S21.fits,R41_S21,MC_C_20211206_000748_R41_S21.fits
MC_C_20211206_000747_R02_S12.fits,R02_S12,MC_C_20211206_000748_R02_S12.fits
MC_C_20211206_000747_R22_S12.fits,R22_S12,MC_C_20211206_000748_R22_S12.fits
MC_C_20211206_000747_R20_S10.fits,R20_S10,MC_C_20211206_000748_R20_S10.fits
MC_C_20211206_000747_R32_S01.fits,R32_S01,MC_C_20211206_000748_R32_S01.fits
MC_C_20211206_000747_R32_S10.fits,R32_S10,MC_C_20211206_000748_R32_S10.fits
MC_C_20211206_000747_R34_S11.fits,R34_S11,MC_C_20211206_000748_R34_S11.fits
MC_C_20211206_000747_R43_S01.fits,R43_S01,MC_C_20211206_000748_R43_S01.fits
MC_C_20211206_000747_R10_S11.fits,R10_S11,MC_C_20211206_000748_R10_S11.fits
MC_C_20211206_000747_R22_S10.fits,R22_S10,MC_C_20211206_000748_R22_S10.fits
MC_C_20211206_000747_R10_S10.fits,R10_S10,MC_C_20211206_000748_R10_S10.fits
MC_C_20211206_000747_R33_S02.fits,R33_S02,MC_C_20211206_000748_R33_S02.fits
MC_C_20211206_000747_R14_S12.fits,R14_S12,MC_C_20211206_000748_R14_S12.fits
MC_C_20211206_000747_R33_S21.fits,R33_S21,MC_C_20211206_000748_R33_S21.fits
MC_C_20211206_000747_R02_S22.fits,R02_S22,MC_C_20211206_000748_R02_S22.fits
MC_C_20211206_000747_R23_S01.fits,R23_S01,MC_C_20211206_000748_R23_S01.fits
